split,class_id,class_label,path,ok,reason
train,0,অ,D:\BdSL\dataset_224\train\0\1_1.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_100.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_101.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_102.jpg,0,no_hand_detected
train,0,অ,D:\BdSL\dataset_224\train\0\1_103.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_104.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_105.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_106.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_107.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_108.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_109.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_110.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_111.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_112.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_113.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_114.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_115.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_116.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_117.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_118.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_119.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_120.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_121.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_122.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_123.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_124.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_125.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_126.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_127.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_128.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_129.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_130.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_131.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_132.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_133.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_134.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_135.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_136.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_137.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_138.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_139.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_140.jpg,0,no_hand_detected
train,0,অ,D:\BdSL\dataset_224\train\0\1_141.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_142.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_143.jpg,0,no_hand_detected
train,0,অ,D:\BdSL\dataset_224\train\0\1_144.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_145.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_146.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_147.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_148.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_149.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_150.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_151.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_152.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_153.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_154.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_155.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_156.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_157.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_158.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_159.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_160.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_161.jpg,1,
train,0,অ,D:\BdSL\dataset_224\train\0\1_162.jpg,0,no_hand_detected
train,0,অ,D:\BdSL\dataset_224\train\0\1_163.jpg,0,no_hand_detected
